(98, 320, 65, 123, 123)
(99, 320, 64, 123, 123)
(100, 319, 65, 123, 123)
(101, 320, 67, 120, 120)
(102, 313, 69, 120, 120)
(103, 305, 75, 118, 118)
(104, 286, 79, 120, 120)
(105, 270, 90, 120, 120)
(106, 259, 96, 115, 115)
(107, 241, 101, 115, 115)
(108, 230, 105, 115, 115)
(109, 222, 109, 115, 115)
(110, 210, 111, 118, 118)
(111, 202, 114, 120, 120)
(112, 196, 116, 120, 120)
(113, 194, 117, 120, 120)
(114, 191, 116, 123, 123)
(115, 189, 116, 125, 125)
(116, 188, 115, 125, 125)
(117, 188, 114, 125, 125)
(118, 186, 108, 125, 125)
(119, 183, 92, 127, 127)
(120, 182, 83, 125, 125)
(121, 182, 77, 125, 125)
(122, 182, 75, 125, 125)
(123, 181, 71, 125, 125)
(124, 182, 70, 125, 125)
(125, 182, 70, 125, 125)
(126, 182, 69, 125, 125)
(127, 182, 69, 125, 125)
(128, 183, 70, 123, 123)
(129, 182, 69, 125, 125)
(130, 182, 68, 125, 125)
(131, 183, 70, 123, 123)
(132, 182, 69, 125, 125)
(133, 182, 68, 125, 125)
(134, 182, 68, 125, 125)
(135, 180, 65, 125, 125)
(136, 178, 60, 123, 123)
(137, 172, 47, 123, 123)
(138, 167, 40, 123, 123)
(139, 163, 33, 125, 125)
(140, 160, 31, 127, 127)
(141, 160, 29, 127, 127)
(142, 160, 29, 125, 125)
(143, 161, 28, 125, 125)
(144, 161, 28, 125, 125)
(145, 169, 30, 123, 123)
(146, 178, 32, 123, 123)
(147, 191, 36, 120, 120)
(148, 206, 38, 118, 118)
(149, 225, 43, 120, 120)
(150, 238, 46, 120, 120)
(151, 248, 48, 120, 120)
(152, 259, 53, 120, 120)
(153, 274, 57, 118, 118)
(154, 285, 58, 120, 120)
(155, 300, 62, 120, 120)
(156, 313, 65, 118, 118)
(157, 327, 68, 118, 118)
(158, 338, 70, 115, 115)
(159, 350, 74, 115, 115)
(160, 362, 78, 115, 115)
(161, 377, 83, 115, 115)
(162, 388, 84, 115, 115)
(163, 404, 90, 115, 115)
(164, 416, 91, 115, 115)
(165, 426, 94, 115, 115)
(166, 442, 101, 115, 115)
(167, 450, 101, 118, 118)
(168, 460, 103, 118, 118)
(169, 467, 106, 118, 118)
(170, 471, 106, 118, 118)
(171, 475, 108, 118, 118)
(172, 478, 110, 115, 115)
(173, 479, 110, 115, 115)
(174, 480, 110, 115, 115)
(175, 479, 110, 115, 115)
(176, 479, 109, 118, 118)
(177, 480, 110, 115, 115)
(178, 479, 110, 115, 115)
(179, 479, 110, 115, 115)
(180, 479, 110, 115, 115)
(181, 479, 110, 115, 115)
(182, 480, 110, 115, 115)
(183, 479, 110, 115, 115)
(184, 479, 109, 118, 118)
(185, 479, 107, 118, 118)
(186, 482, 92, 115, 115)
(187, 483, 85, 115, 115)
(188, 483, 86, 115, 115)
(189, 483, 85, 115, 115)
(190, 482, 84, 118, 118)
